GENUS.SPECIES,DORMANCY.CLASS
Ambrosia artemisiifolia,PD
Ambrosia dumosa,PD
Ambrosia trifida,PD
Amburana cearensis,ND
Amelanchier alnifolia,PD
Amelanchier alnifolia,PD
Amelanchier canadensis,PD
Amelanchier canadensis,PD
Amelanchier denticulata,PD
Amelanchier laevis,PD
Amelanchier pallida,PD
Amelanchier pumila,PD
Amelanchier spicata,PD
Amelanchier utahensis,PD
Amellus tenuifolius,PD
Amesiodendron chinense,PD
Amethystea caerulea,PD
Ammannia coccinea,PD
Ammochloa palaestina,PD
Ammophila arenaria,PD
Ammophila breviligulata,PD
Ammopiptanthus mongolicus,PY
Ammopiptanthus mongolicus,PY
Ammopiptanthus nanus,PY
Amomyrtus luma,PD
Amomyrtus meli,PD
Amoora malaccensis,ND
Amoora wallichii,ND
Amoora wallichii,PD
Amorpha canescens,PY
Amorpha fruticosa,PY
Amorpha fruticosa,PY
Amorpha fruticosa,PY
Ampelamus albidus,PD
Ampelopsis brevipedunculata,MPD
Ampelopsis japonicaj,PD
Ampelopsis sp.,MPD
Amphiachyris dracunculoides,ND
Amphicarpaea edgeworthii,PY
Amphilophium paniculatum,PD
Amphimas pterocarpoides,ND
Amphipogon amphipogonoides,PD
Amsinckia hispida,PD
Amsonia elliptica,PD
Amygdalus tangutica,PD
Amyris elemifera,PD
Amyris madrensis,PD
Anacardium excelsum,ND
Anacardium excelsum,PD
Anacardium giganteum,ND
Anacardium humile,ND
Anacardium occidentale,ND
Anacardium occidentale,PD
Anacardium othonianum,PD
Anacardium spruceanum,ND
Anacolosa heptandra,MPD
Anacolosa ilicoides,MPD
Anadenanthera colubrina,ND
Anadenanthera falcata,ND
Anadenanthera macrocarpa,ND
Anagallis arvensis,PD
Anaphalis aureo-punctata,PD
Anaphalis bicolor,ND
Anaphalis flavescens,PD
Anaphalis hancockii,ND
Anaphalis lactea,ND
Anaphalis latialata,ND
Anaphalis margaritacea,ND
Anaphalis margaritacea,ND
Anarthria prolifera,PD
Anarthria scabra,PD
Anchusa officinalis,PD
Ancistrophyllum secundiflorum,MPD
Andersonia aristata,PD
Andersonia axilliflora,PD
Andersonia bifida,PD
Andersonia caerulea,PD
Andersonia echinocephala,PD
Andersonia gracilis,PD
Andersonia grandiflora,PD
Andersonia involucrata,PD
Andersonia latiflora,PD
Andersonia lehmanniana,PD
Andersonia pinaster,PD
Andersonia sprengelioides,PD
Andira anthelmia,ND
Andira cuyabensis,ND
Andira fraxinifolia,ND
Andira humilis,PD
Andira humilis,PY
Andira inermis,ND
Andira inermis,PD
Andira inermis,PD
Andira micrantha,PD
Andira unifoliolata,PD
Andrographis paniculata,PD
Andropogon bicornus,PD
Andropogon gayanus,PD
Andropogon gayanus,PD
Andropogon gerardii,PD
Andropogon glomeratus,PD
Andropogon selloanus,PD
Andropogon semiberbis,PD
Andropogon virginicus,PD
Androsace brachystegia,PD
Androsace erecta,ND
Androsace mariae,PD
Androsace maxima,PD
Androsace turczaninovii,PD
Androsace yargongenis,PD
Andryala pinntifida,PD
Anemone altaica,MPD
Anemone coronaria,MD
Anemone cylindrica,MPD
Anemone imbricata,MPD
Anemone obtusiloba,MPD
Anemone patens,MPD
Anemone rivularis,MPD
Anemone trullifolia,MPD
Anemonella thalictroides,MPD
Anemonenemorosa ,MPD
Anemonenemorosa ranunculoides,MPD
Anemopaegma arvense,ND
Anemopaegma arvense,PD
Angelica archangelica,MPD
